"x","y","z","Stardesc","Multiple","Colour","Name","Planet Count","Atmosphere","Temperature","Biosphere","Population","TechLevel","World Tag 1","World Tag 2","GalacticX","GalacticY","clusterNum","mapcolour","FullName"
205,101.2,-1,"Type'M'flare star",0,"#C80000","","5","Corrosive, and invasive atmosphere|Inert Gas|Breathable Mix|Corrosive, and invasive atmosphere|Corrosive|","Warm|Temperate|Variable cold-to-temperate|Temperate|Variable temperate-to-warm|","Immiscible biosphere|Hybrid biosphere|Biosphere remnants|Immiscible biosphere|Human-miscible biosphere|","Tens of thousands|Tens of thousands|Millions|Tens of thousands|Hundreds of thousands|","4. Baseline postech|4. Baseline postech|4. Baseline postech|4. Baseline postech|4. Baseline postech|","Alien Ruins|Area 51|Out of Contact|Abandoned Colony|Altered Humanity|","Alien Ruins|Area 51|Out of Contact|Abandoned Colony|Altered Humanity|",77955,99351.2,"1","#ffe119","Kakekamu"
29,123.28,0,"Type'M'flare star",0,"#C80000","","5","Invasive, toxic atmosphere|Invasive, toxic atmosphere|Inert Gas|Corrosive, and invasive atmosphere|Breathable Mix|","Temperate|Warm|Variable cold-to-temperate|Temperate|Variable cold-to-temperate|","Hybrid biosphere|Human-miscible biosphere|Biosphere remnants|Microbial life|Human-miscible biosphere|","Tens of thousands|Hundreds of thousands|Millions|Hundreds of thousands|Failed colony|","4. with specialties or surviving pretech|4. Baseline postech|4. Baseline postech|4. Baseline postech|2. Nineteenth-century|","Desert World|Badlands World|Out of Contact|Bubble Cities|Bubble Cities|","Desert World|Badlands World|Out of Contact|Bubble Cities|Bubble Cities|",77779,99373.28,"1","#ffe119","Bekenrube"
88,0,0,"Type'M'flare star",1,"#C80000","","4","Invasive, toxic atmosphere|Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|","Warm|Variable cold-to-temperate|Temperate|Variable temperate-to-warm|","Microbial life|Biosphere remnants|Immiscible biosphere|Immiscible biosphere|","Millions|Hundreds of thousands|Millions|Millions|","4. with specialties or surviving pretech|3. Twentieth-century|4. Baseline postech|0. Stone age|","Alien Ruins|Out of Contact|Bubble Cities|Colonized Population|","Alien Ruins|Out of Contact|Bubble Cities|Colonized Population|",77838,99250,"1","#ffe119","Banru"
191,205.16,-6,"Faint type'M'red star",1,"#C80000","","4","Thick atmosphere, breathable with a pressure mask|Breathable Mix|Breathable Mix|Breathable Mix|","Frozen|Warm|Variable cold-to-temperate|Variable temperate-to-warm|","Immiscible biosphere|Hybrid biosphere|Human-miscible biosphere|Microbial life|","Hundreds of thousands|Failed colony|Failed colony|Tens of thousands|","4. Baseline postech|4. Baseline postech|4. Baseline postech|4. with specialties or surviving pretech|","Area 51|Badlands World|Cold War|Badlands World|","Area 51|Badlands World|Cold War|Badlands World|",77941,99455.16,"1","#ffe119","Pendu"
83,227.24,-176,"Type'M'flare star",0,"#C80000","","4","Thick atmosphere, breathable with a pressure mask|Corrosive|Breathable Mix|Corrosive, and invasive atmosphere|","Burning|Variable temperate-to-warm|Variable cold-to-temperate|Variable cold-to-temperate|","Hybrid biosphere|No native biosphere|Biosphere remnants|No native biosphere|","Hundreds of thousands|Billions|Billions|Hundreds of thousands|","3. Twentieth-century|2. Nineteenth-century|4. Baseline postech|4. Baseline postech|","Alien Ruins|Out of Contact|Out of Contact|Badlands World|","Alien Ruins|Out of Contact|Out of Contact|Badlands World|",77833,99477.24,"1","#ffe119","Mito"
90,168.36,-4,"Type'M'flare star",5,"#C80000","","4","Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|Corrosive, and invasive atmosphere|","Warm|Variable cold-to-temperate|Variable cold-to-temperate|Frozen|","Human-miscible biosphere|Immiscible biosphere|Biosphere remnants|No native biosphere|","Hundreds of thousands|Billions|Millions|Tens of thousands|","5. Pretech|3. Twentieth-century|4. Baseline postech|4. Baseline postech|","Abandoned Colony|Area 51|Out of Contact|Colonized Population|","Abandoned Colony|Area 51|Out of Contact|Colonized Population|",77840,99418.36,"1","#ffe119","Demomo"
241,223.56,-7,"Type'M'flare star",0,"#C80000","","4","Breathable Mix|Breathable Mix|Corrosive, and invasive atmosphere|Corrosive, and invasive atmosphere|","Variable cold-to-temperate|Warm|Variable cold-to-temperate|Burning|","Human-miscible biosphere|Immiscible biosphere|Biosphere remnants|Hybrid biosphere|","Outpost|Millions|Millions|Tens of thousands|","4. Baseline postech|3. Twentieth-century|4. Baseline postech|3. Twentieth-century|","Bubble Cities|Area 51|Out of Contact|Desert World|","Bubble Cities|Area 51|Out of Contact|Desert World|",77991,99473.56,"1","#ffe119","Dunto"
38,18.4,0,"Type'M'flare star",1,"#C80000","","4","Breathable Mix|Invasive, toxic atmosphere|Corrosive, and invasive atmosphere|Inert Gas|","Temperate|Frozen|Warm|Variable cold-to-temperate|","No native biosphere|Biosphere remnants|Microbial life|Biosphere remnants|","Hundreds of thousands|Hundreds of thousands|Billions|Hundreds of thousands|","2. Nineteenth-century|2. Nineteenth-century|3. Twentieth-century|2. Nineteenth-century|","Alien Ruins|Out of Contact|Civil War|Out of Contact|","Alien Ruins|Out of Contact|Civil War|Out of Contact|",77788,99268.4,"1","#ffe119","Sukadi"
218,69,0,"Faint type'M'red star",5,"#C80000","","3","Breathable Mix|Breathable Mix|Corrosive|","Temperate|Temperate|Variable cold-to-temperate|","Human-miscible biosphere|No native biosphere|Biosphere remnants|","Hundreds of thousands|Tens of thousands|Billions|","3. Twentieth-century|3. Twentieth-century|4. Baseline postech|","Civil War|Abandoned Colony|Out of Contact|","Civil War|Abandoned Colony|Out of Contact|",77968,99319,"1","#ffe119","Denrigubi"
25,12.88,0,"Type'M'flare star",1,"#C80000","","3","Breathable Mix|Breathable Mix|Airless/Thin Atmosphere|","Cold|Temperate|Variable cold-to-temperate|","Engineered biosphere|Human-miscible biosphere|Biosphere remnants|","Hundreds of thousands|Hundreds of thousands|Billions|","3. Twentieth-century|0. Stone age|4. Baseline postech|","Cold War|Area 51|Out of Contact|","Cold War|Area 51|Out of Contact|",77775,99262.88,"1","#ffe119","Himobo"
210,208.84,0,"Type'M'flare star",0,"#C80000","","3","Breathable Mix|Corrosive, and invasive atmosphere|Corrosive, and invasive atmosphere|","Warm|Variable cold-to-temperate|Temperate|","No native biosphere|Biosphere remnants|No native biosphere|","Millions|Millions|Billions|","2. Nineteenth-century|4. Baseline postech|4. Baseline postech|","Out of Contact|Out of Contact|Colonized Population|","Out of Contact|Out of Contact|Colonized Population|",77960,99458.84,"1","#ffe119","Runro"
237,157.32,0,"Type'M'flare star",0,"#C80000","","3","Breathable Mix|Invasive, toxic atmosphere|Corrosive, and invasive atmosphere|","Variable cold-to-temperate|Variable cold-to-temperate|Cold|","No native biosphere|Biosphere remnants|No native biosphere|","Billions|Hundreds of thousands|Hundreds of thousands|","1. Medieval|3. Twentieth-century|0. Stone age|","Area 51|Out of Contact|Badlands World|","Area 51|Out of Contact|Badlands World|",77987,99407.32,"1","#ffe119","Tento"
2,123.28,0,"Type'M'flare star",0,"#C80000","","3","Breathable Mix|Breathable Mix|Breathable Mix|","Cold|Variable cold-to-temperate|Variable cold-to-temperate|","Human-miscible biosphere|Hybrid biosphere|Biosphere remnants|","Hundreds of thousands|Hundreds of thousands|Billions|","2. Nineteenth-century|0. Stone age|4. Baseline postech|","Civil War|Area 51|Out of Contact|","Civil War|Area 51|Out of Contact|",77752,99373.28,"1","#ffe119","Baba"
228,57.96,-1,"Faint type'M'red star",0,"#C80000","","2","Breathable Mix|Airless/Thin Atmosphere|","Variable cold-to-temperate|Warm|","Human-miscible biosphere|No native biosphere|","Outpost|Millions|","4. with specialties or surviving pretech|5. Pretech|","Altered Humanity|Area 51|","Altered Humanity|Area 51|",77978,99307.96,"1","#ffe119","Dzipe"
114,94.76,-184,"Type'M'red star",0,"#C80000","","2","Breathable Mix|Thick atmosphere, breathable with a pressure mask|","Warm|Variable cold-to-temperate|","Engineered biosphere|Biosphere remnants|","Hundreds of thousands|Hundreds of thousands|","1. Medieval|3. Twentieth-century|","Altered Humanity|Out of Contact|","Altered Humanity|Out of Contact|",77864,99344.76,"1","#ffe119","Ore"
41,168.36,-76,"Type'M'flare star",1,"#C80000","","2","Airless/Thin Atmosphere|Breathable Mix|","Variable cold-to-temperate|Temperate|","Engineered biosphere|Human-miscible biosphere|","Hundreds of thousands|Hundreds of thousands|","4. Baseline postech|2. Nineteenth-century|","Badlands World|Colonized Population|","Badlands World|Colonized Population|",77791,99418.36,"1","#ffe119","Kasusanere"
27,88.32,0,"Type'M'flare star",3,"#C80000","","2","Airless/Thin Atmosphere|Breathable Mix|","Cold|Variable cold-to-temperate|","Immiscible biosphere|Human-miscible biosphere|","Millions|Tens of thousands|","4. Baseline postech|3. Twentieth-century|","Desert World|Cold War|","Desert World|Cold War|",77777,99338.32,"1","#ffe119","Mipomeke"
83,223.56,0,"Type'M'flare star",0,"#C80000","","2","Airless/Thin Atmosphere|Invasive, toxic atmosphere|","Cold|Frozen|","Immiscible biosphere|Biosphere remnants|","Billions|Tens of thousands|","3. Twentieth-century|1. Medieval|","Alien Ruins|Out of Contact|","Alien Ruins|Out of Contact|",77833,99473.56,"1","#ffe119","Imunruso"
9,168.36,-1,"Type'M'flare star",1,"#C80000","","2","Inert Gas|Thick atmosphere, breathable with a pressure mask|","Burning|Variable cold-to-temperate|","No native biosphere|Biosphere remnants|","Aliens|Billions|","2. Nineteenth-century|4. Baseline postech|","Altered Humanity|Out of Contact|","Altered Humanity|Out of Contact|",77759,99418.36,"1","#ffe119","Kasodi"
